Fecha de Scraping,Título,Descripción
2024-06-23 16:06:43,"Apartamento en Arriendo, CENTENARIO, Armenia",
2024-06-23 16:06:43,"Apartamento en Arriendo, SANTA MARIA DE LOS ANGELES, Me…",$26.000.000 | 500 m² | 4 | 5
2024-06-23 16:06:43,"Apartamento en Arriendo, EL POBLADO, Medellín",$26.000.000 | 500 m² | 4 | 5
2024-06-23 16:06:43,"Apartamento en Arriendo, CHICO, Bogotá D.C.",
2024-06-23 16:06:43,"Apartamento en Arriendo, CHICO RESERVADO, Bogotá D.C.",$12.800.000 | 170 m² | 3 | 4
2024-06-23 16:06:43,"Apartamento en Arriendo, CHICO RESERVADO, Bogotá D.C.",$12.800.000 | 170 m² | 3 | 4
2024-06-23 16:06:43,"Apartamento en Arriendo, LOIRA REAL, Bogotá D.C.",
2024-06-23 16:06:43,"Apartamento en Arriendo, Rionegro",$4.800.000 | 180 m² | 4 | 4
2024-06-23 16:06:43,"Apartamento en Arriendo, Poblado campestre, Medellín",$4.800.000 | 180 m² | 4 | 4
2024-06-23 16:06:43,"Apartamento en Arriendo, BOSQUE DE PINOS, Bogotá D.C.",
2024-06-23 16:06:43,"Casa en Arriendo, Neira, Neira",$18.700.000 | 455 m² | 3 | 4
2024-06-23 16:06:43,"Apartamento en Arriendo, El Retiro, Bogotá D.C.",$18.700.000 | 455 m² | 3 | 4
2024-06-23 16:06:43,"Apartamento en Arriendo, CC VIVA ENVIGADO, Envigado",
2024-06-23 16:06:43,"Apartamento en Arriendo, LA CAROLINA COUNTRY, Bogotá D.C.",$15.000.000 | 350 m² | 5 | 5
2024-06-23 16:06:43,"Apartamento en Arriendo, BELLA SUIZA, Bogotá D.C.",$15.000.000 | 350 m² | 5 | 5
2024-06-23 16:06:43,"Apartamento en Arriendo, SALITRE, Bogotá D.C.",
2024-06-23 16:06:43,"Apartamento en Arriendo, CABRERA, Bogotá D.C.",$10.500.000 | 350 m² | 4 | 5
2024-06-23 16:06:43,"Casa en Arriendo, Via Cerritos, Pereira",$10.500.000 | 350 m² | 4 | 5
2024-06-23 16:06:43,"Apartamento en Arriendo, CHAPINERO ALTO, Bogotá D.C.",
2024-06-23 16:06:43,"Apartamento en Arriendo, EL PROGRESO, Floridablanca",$12.000.000 | 380 m² | 4 | 5
2024-06-23 16:06:43,"Apartamento en Arriendo, CHICO RESERVADO, Bogotá D.C.",$12.000.000 | 380 m² | 4 | 5
2024-06-23 16:06:43,"Apartamento en Arriendo, SANTA PAULA, Bogotá D.C.",
2024-06-23 16:06:43,"Apartamento en Arriendo, NOGAL RETIRO, Bogotá D.C.",$8.000.000 | 500 m² | 5 | 5
2024-06-23 16:06:43,"Apartamento en Arriendo, EL REFUGIO, Bogotá D.C.",$8.000.000 | 500 m² | 5 | 5
2024-06-23 16:06:43,"Apartamento en Arriendo, EL POBLADO, Medellín",
2024-06-23 16:06:43,"Apartamento en Arriendo, EL POBLADO, Medellín",$20.000.000 | 570 m² | 4 | 5
2024-06-23 16:06:43,"Apartamento en Arriendo, EL POBLADO, Medellín",$20.000.000 | 570 m² | 4 | 5
